googl_iter,tweet_number,tweet date,query,TweetText,sentiment;;;;;
1,1,2023-01-04 09:22:30,GOOGL -is:retweet,GOOGL Top analyst price target for this week🎯🔥🚀🔗,0;;;;;
1,2,2023-01-04 09:21:01,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
"2,1,2023-01-04 09:30:48,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"2,2,2023-01-04 09:30:12,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
2,3,2023-01-04 09:22:30,GOOGL -is:retweet,GOOGL Top analyst price target for this week🎯🔥🚀🔗,0;;;;;
"3,1,2023-01-04 09:30:48,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"3,2,2023-01-04 09:30:12,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"4,1,2023-01-04 09:30:48,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"4,2,2023-01-04 09:30:12,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
5,1,2023-01-04 09:36:51,GOOGL -is:retweet,GOOGL   Top analyst price target for next week ,0;;;;;
5,2,2023-01-04 09:36:08,GOOGL -is:retweet,¿Es esto una amenaza para el buscador de GOOGL? 🤔 ,0;;;;;
"5,3,2023-01-04 09:30:48,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"5,4,2023-01-04 09:30:12,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
6,1,2023-01-04 09:36:51,GOOGL -is:retweet,GOOGL   Top analyst price target for next week ,0;;;;;
6,2,2023-01-04 09:36:08,GOOGL -is:retweet,¿Es esto una amenaza para el buscador de GOOGL? 🤔 ,0;;;;;
"6,3,2023-01-04 09:30:48,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
"6,4,2023-01-04 09:30:12,GOOGL -is:retweet,""googl  """"Top analyst price target for next week"",0";;;;;
7,1,2023-01-04 09:36:51,GOOGL -is:retweet,GOOGL   Top analyst price target for next week ,0;;;;;
7,2,2023-01-04 09:36:08,GOOGL -is:retweet,¿Es esto una amenaza para el buscador de GOOGL? 🤔 ,0;;;;;
8,1,2023-01-04 09:43:51,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
8,2,2023-01-04 09:36:51,GOOGL -is:retweet,GOOGL   Top analyst price target for next week ,0;;;;;
8,3,2023-01-04 09:36:08,GOOGL -is:retweet,¿Es esto una amenaza para el buscador de GOOGL? 🤔 ,0;;;;;
9,1,2023-01-04 09:45:02,GOOGL -is:retweet,googl  Top analyst price target for stocks for the week      ,0;;;;;
9,2,2023-01-04 09:44:39,GOOGL -is:retweet,GOOGL  Top analyst price target for the week📉🚀 ,0;;;;;
9,3,2023-01-04 09:43:51,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
9,4,2023-01-04 09:36:51,GOOGL -is:retweet,GOOGL   Top analyst price target for next week ,0;;;;;
9,5,2023-01-04 09:36:08,GOOGL -is:retweet,¿Es esto una amenaza para el buscador de GOOGL? 🤔 ,0;;;;;
"10,1,2023-01-04 09:47:03,GOOGL -is:retweet,""GOOG GOOGL ↑upgrade New Street Research Initiates Coverage On Alphabet with Buy Rating, Announce"",0";;;;;
10,2,2023-01-04 09:45:02,GOOGL -is:retweet,googl  Top analyst price target for stocks for the week      ,0;;;;;
10,3,2023-01-04 09:44:39,GOOGL -is:retweet,GOOGL  Top analyst price target for the week📉🚀 ,0;;;;;
10,4,2023-01-04 09:43:51,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
11,1,2023-01-04 09:48:30,GOOGL -is:retweet,GOOG GOOGL NEW ARTICLE  Google appeals US157mln Indian fine as it says authorities copied EU template https//tco/rzouyoEK2i Get all the latest GOOG related news here  https//tco/cboaNl2bcm ,0;;;;;
11,2,2023-01-04 09:48:04,GOOGL -is:retweet,Comment publier automatiquement des articles WordPress sur Google My Business ?A  A  A  aujourd’hui pour un(e) professionnel(le) de composer sans Google Business Profile encore appelé il y a peu Googl https//tco/n9Fe4z5g5N ,0;;;;;
"11,3,2023-01-04 09:47:03,GOOGL -is:retweet,""GOOG GOOGL ↑upgrade New Street Research Initiates Coverage On Alphabet with Buy Rating, Announce"",0";;;;;
11,4,2023-01-04 09:45:02,GOOGL -is:retweet,googl  Top analyst price target for stocks for the week      ,0;;;;;
11,5,2023-01-04 09:44:39,GOOGL -is:retweet,GOOGL  Top analyst price target for the week📉🚀 ,0;;;;;
11,6,2023-01-04 09:43:51,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
12,1,2023-01-04 09:48:30,GOOGL -is:retweet,GOOG GOOGL NEW ARTICLE  Google appeals US157mln Indian fine as it says authorities copied EU template https//tco/rzouyoEK2i Get all the latest GOOG related news here  https//tco/cboaNl2bcm ,0;;;;;
12,2,2023-01-04 09:48:04,GOOGL -is:retweet,Comment publier automatiquement des articles WordPress sur Google My Business ?A  A  A  aujourd’hui pour un(e) professionnel(le) de composer sans Google Business Profile encore appelé il y a peu Googl https//tco/n9Fe4z5g5N ,0;;;;;
"12,3,2023-01-04 09:47:03,GOOGL -is:retweet,""GOOG GOOGL ↑upgrade New Street Research Initiates Coverage On Alphabet with Buy Rating, Announce"",0";;;;;
12,4,2023-01-04 09:45:02,GOOGL -is:retweet,googl  Top analyst price target for stocks for the week      ,0;;;;;
12,5,2023-01-04 09:44:39,GOOGL -is:retweet,GOOGL  Top analyst price target for the week📉🚀 ,0;;;;;
12,6,2023-01-04 09:43:51,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
13,1,2023-01-04 09:48:30,GOOGL -is:retweet,GOOG GOOGL NEW ARTICLE  Google appeals US157mln Indian fine as it says authorities copied EU template https//tco/rzouyoEK2i Get all the latest GOOG related news here  https//tco/cboaNl2bcm ,0;;;;;
13,2,2023-01-04 09:48:04,GOOGL -is:retweet,Comment publier automatiquement des articles WordPress sur Google My Business ?A  A  A  aujourd’hui pour un(e) professionnel(le) de composer sans Google Business Profile encore appelé il y a peu Googl https//tco/n9Fe4z5g5N ,0;;;;;
"13,3,2023-01-04 09:47:03,GOOGL -is:retweet,""GOOG GOOGL ↑upgrade New Street Research Initiates Coverage On Alphabet with Buy Rating, Announce"",0";;;;;
13,4,2023-01-04 09:45:02,GOOGL -is:retweet,googl  Top analyst price target for stocks for the week      ,0;;;;;
13,5,2023-01-04 09:44:39,GOOGL -is:retweet,GOOGL  Top analyst price target for the week📉🚀 ,0;;;;;
14,1,2023-01-04 09:48:30,GOOGL -is:retweet,GOOG GOOGL NEW ARTICLE  Google appeals US157mln Indian fine as it says authorities copied EU template https//tco/rzouyoEK2i Get all the latest GOOG related news here  https//tco/cboaNl2bcm ,0;;;;;
14,2,2023-01-04 09:48:04,GOOGL -is:retweet,Comment publier automatiquement des articles WordPress sur Google My Business ?A  A  A  aujourd’hui pour un(e) professionnel(le) de composer sans Google Business Profile encore appelé il y a peu Googl https//tco/n9Fe4z5g5N ,0;;;;;
"14,3,2023-01-04 09:47:03,GOOGL -is:retweet,""GOOG GOOGL ↑upgrade New Street Research Initiates Coverage On Alphabet with Buy Rating, Announce"",0";;;;;
15,1,2023-01-04 09:48:30,GOOGL -is:retweet,GOOG GOOGL NEW ARTICLE  Google appeals US157mln Indian fine as it says authorities copied EU template https//tco/rzouyoEK2i Get all the latest GOOG related news here  https//tco/cboaNl2bcm ,0;;;;;
15,2,2023-01-04 09:48:04,GOOGL -is:retweet,Comment publier automatiquement des articles WordPress sur Google My Business ?A  A  A  aujourd’hui pour un(e) professionnel(le) de composer sans Google Business Profile encore appelé il y a peu Googl https//tco/n9Fe4z5g5N ,0;;;;;
16,1,2023-01-04 09:58:08,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
17,1,2023-01-04 09:58:08,GOOGL -is:retweet,GOOGL Top analyst price target for next week📈📉🚀,0;;;;;
18,1,2023-01-04 10:03:17,GOOGL -is:retweet,GOOGL Alphabet (GOOGL) Initiated with Buy and a Target of 118 at New Street Research; See,0;;;;
18,2,2023-01-04 10:02:19,GOOGL -is:retweet,Trending Internet SoftwareGOOGL 227 BILI 1980 AMWL 035 BCOR 074 TRUE 040 XP 678 QH 833 ,0;;;;;
