,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-17 09:30:00-05:00,162.5,163.17250061035156,161.26400756835938,162.19725036621094,1110786,0,0.0
2020-12-17 10:30:00-05:00,162.2375030517578,162.34249877929688,161.5,161.87049865722656,353726,0,0.0
2020-12-17 11:30:00-05:00,161.89450073242188,161.97299194335938,161.0500030517578,161.9530029296875,294371,0,0.0
2020-12-17 12:30:00-05:00,161.9510040283203,162.14999389648438,161.74398803710938,161.83450317382812,300294,0,0.0
2020-12-17 13:30:00-05:00,161.87771606445312,162.14999389648438,161.68675231933594,161.68699645996094,184435,0,0.0
2020-12-17 14:30:00-05:00,161.69300842285156,162.0155029296875,161.56509399414062,161.59649658203125,438140,0,0.0
2020-12-17 15:30:00-05:00,161.5749969482422,161.9499969482422,161.1999969482422,161.85073852539062,380417,0,0.0
2020-12-18 09:30:00-05:00,162.19949340820312,162.4709930419922,160.2019805908203,160.39450073242188,1167251,0,0.0
2020-12-18 10:30:00-05:00,160.4084930419922,160.50074768066406,159.60450744628906,160.07650756835938,365257,0,0.0
2020-12-18 11:30:00-05:00,160.03599548339844,160.1999969482422,159.72850036621094,159.87750244140625,343355,0,0.0
2020-12-18 12:30:00-05:00,159.864501953125,160.05099487304688,159.5780029296875,159.73306274414062,299476,0,0.0
2020-12-18 13:30:00-05:00,159.73899841308594,159.7449951171875,158.5800018310547,158.8949432373047,439197,0,0.0
2020-12-18 14:30:00-05:00,158.92250061035156,159.64199829101562,158.77650451660156,158.9239959716797,667896,0,0.0
2020-12-18 15:30:00-05:00,158.91751098632812,160.35150146484375,158.75,160.05349731445312,916521,0,0.0
2020-12-21 09:30:00-05:00,159.97000122070312,161.34832763671875,158.9709930419922,159.40049743652344,1327485,0,0.0
2020-12-21 10:30:00-05:00,159.36050415039062,159.8125,158.3000030517578,159.625,638505,0,0.0
2020-12-21 11:30:00-05:00,159.6490020751953,160.9397430419922,159.6490020751953,160.9290008544922,428393,0,0.0
2020-12-21 12:30:00-05:00,160.9394989013672,160.95249938964844,160.28500366210938,160.68899536132812,247377,0,0.0
2020-12-21 13:30:00-05:00,160.7154998779297,160.82687377929688,160.15074157714844,160.62249755859375,195330,0,0.0
2020-12-21 14:30:00-05:00,160.56777954101562,160.72947692871094,160.11500549316406,160.21299743652344,190094,0,0.0
2020-12-21 15:30:00-05:00,160.22450256347656,160.31100463867188,159.58950805664062,160.28700256347656,286670,0,0.0
2020-12-22 09:30:00-05:00,160.14218139648438,161.10000610351562,159.39999389648438,159.8000030517578,737512,0,0.0
2020-12-22 10:30:00-05:00,159.88534545898438,160.4324951171875,159.39999389648438,159.68499755859375,286968,0,0.0
2020-12-22 11:30:00-05:00,159.65350341796875,160.0,159.00399780273438,159.59625244140625,316327,0,0.0
2020-12-22 12:30:00-05:00,159.62449645996094,159.8502197265625,159.4654998779297,159.7449951171875,134081,0,0.0
2020-12-22 13:30:00-05:00,159.78250122070312,160.54949951171875,159.7364959716797,160.44876098632812,273460,0,0.0
2020-12-22 14:30:00-05:00,160.43399047851562,160.45550537109375,159.92913818359375,160.1747589111328,188595,0,0.0
2020-12-22 15:30:00-05:00,160.21075439453125,160.4250030517578,160.0,160.3260040283203,209449,0,0.0
2020-12-23 09:30:00-05:00,160.25,160.28750610351562,159.25,160.02099609375,590719,0,0.0
2020-12-23 10:30:00-05:00,160.0564727783203,160.27450561523438,159.44650268554688,159.55099487304688,226951,0,0.0
2020-12-23 11:30:00-05:00,159.56924438476562,160.2176055908203,159.53700256347656,160.19595336914062,171051,0,0.0
2020-12-23 12:30:00-05:00,160.22650146484375,160.4344940185547,159.94351196289062,160.3000030517578,178532,0,0.0
2020-12-23 13:30:00-05:00,160.26150512695312,160.50650024414062,160.08299255371094,160.18809509277344,180841,0,0.0
2020-12-23 14:30:00-05:00,160.2209930419922,160.35549926757812,159.8310089111328,159.8310089111328,198323,0,0.0
2020-12-23 15:30:00-05:00,159.87249755859375,159.95999145507812,159.25601196289062,159.3365020751953,282825,0,0.0
2020-12-24 09:30:00-05:00,159.6949920654297,160.10000610351562,159.125,159.4915008544922,468694,0,0.0
2020-12-24 10:30:00-05:00,159.45822143554688,159.71400451660156,158.64012145996094,158.968505859375,353097,0,0.0
2020-12-24 11:30:00-05:00,158.9709930419922,159.38499450683594,158.4499969482422,158.56700134277344,322703,0,0.0
2020-12-24 13:00:00-05:00,158.57049560546875,158.75,158.35000610351562,158.63449096679688,0,0,0.0
2020-12-28 09:30:00-05:00,159.6999969482422,159.82850646972656,158.63449096679688,159.25698852539062,798455,0,0.0
2020-12-28 10:30:00-05:00,159.24874877929688,161.90499877929688,159.22549438476562,161.90499877929688,964354,0,0.0
2020-12-28 11:30:00-05:00,161.87249755859375,164.25,161.81700134277344,164.21249389648438,1051652,0,0.0
2020-12-28 12:30:00-05:00,164.23001098632812,164.84950256347656,163.44699096679688,164.43350219726562,962784,0,0.0
2020-12-28 13:30:00-05:00,164.43699645996094,164.9949951171875,164.01600646972656,164.95375061035156,445475,0,0.0
2020-12-28 14:30:00-05:00,164.93649291992188,165.1999969482422,164.30050659179688,164.44424438476562,612837,0,0.0
2020-12-28 15:30:00-05:00,164.44725036621094,164.7425079345703,164.07901000976562,164.197998046875,486166,0,0.0
2020-12-29 09:30:00-05:00,165.4969940185547,166.60000610351562,164.06114196777344,165.67449951171875,1455473,0,0.0
2020-12-29 10:30:00-05:00,165.67250061035156,166.4499969482422,165.375,165.89950561523438,643275,0,0.0
2020-12-29 11:30:00-05:00,165.90626525878906,166.20999145507812,165.5500030517578,165.86801147460938,458717,0,0.0
2020-12-29 12:30:00-05:00,165.8717498779297,167.4824981689453,165.6191864013672,167.45455932617188,655409,0,0.0
2020-12-29 13:30:00-05:00,167.437255859375,167.53250122070312,166.83450317382812,166.97500610351562,439800,0,0.0
2020-12-29 14:30:00-05:00,166.95999145507812,167.14999389648438,166.25,166.63499450683594,530840,0,0.0
2020-12-29 15:30:00-05:00,166.60450744628906,166.67599487304688,165.72799682617188,166.03549194335938,429729,0,0.0
2020-12-30 09:30:00-05:00,167.0500030517578,167.05999755859375,165.60000610351562,166.19850158691406,769322,0,0.0
2020-12-30 10:30:00-05:00,166.24050903320312,166.3616180419922,164.77499389648438,164.90367126464844,571173,0,0.0
2020-12-30 11:30:00-05:00,164.9092254638672,165.86053466796875,164.83050537109375,165.7239990234375,430394,0,0.0
2020-12-30 12:30:00-05:00,165.74703979492188,165.76199340820312,165.13101196289062,165.37893676757812,173521,0,0.0
2020-12-30 13:30:00-05:00,165.36550903320312,165.40899658203125,164.5647430419922,164.79025268554688,234819,0,0.0
2020-12-30 14:30:00-05:00,164.8310089111328,165.0,164.28199768066406,164.33050537109375,460695,0,0.0
2020-12-30 15:30:00-05:00,164.3365020751953,164.73699951171875,164.12350463867188,164.29251098632812,345520,0,0.0
2020-12-31 09:30:00-05:00,163.75,164.14608764648438,163.11550903320312,163.5260009765625,513237,0,0.0
2020-12-31 10:30:00-05:00,163.54150390625,163.60000610351562,162.75,162.80776977539062,292992,0,0.0
2020-12-31 11:30:00-05:00,162.82275390625,162.82275390625,162.3040008544922,162.70999145507812,418338,0,0.0
2020-12-31 12:30:00-05:00,162.68699645996094,162.8861083984375,162.4758758544922,162.69949340820312,211327,0,0.0
2020-12-31 13:30:00-05:00,162.70748901367188,162.70748901367188,162.05999755859375,162.28736877441406,289316,0,0.0
2020-12-31 14:30:00-05:00,162.27499389648438,162.6999969482422,162.2135009765625,162.3000030517578,387725,0,0.0
2020-12-31 15:30:00-05:00,162.27081298828125,163.0,162.11500549316406,162.82049560546875,503554,0,0.0
2021-01-04 09:30:00-05:00,163.5515594482422,163.55874633789062,160.85000610351562,161.75399780273438,817344,0,0.0
2021-01-04 10:30:00-05:00,161.8000030517578,161.9665069580078,159.39999389648438,159.76199340820312,614296,0,0.0
2021-01-04 11:30:00-05:00,159.70425415039062,159.77450561523438,157.25,158.03074645996094,809036,0,0.0
2021-01-04 12:30:00-05:00,157.99200439453125,159.093994140625,157.2010040283203,159.02650451660156,559356,0,0.0
2021-01-04 13:30:00-05:00,159.03945922851562,159.52099609375,158.75,159.02499389648438,362154,0,0.0
2021-01-04 14:30:00-05:00,159.0800018310547,159.16299438476562,158.32150268554688,158.82449340820312,292583,0,0.0
2021-01-04 15:30:00-05:00,158.8594970703125,159.86749267578125,158.6074981689453,159.33248901367188,495186,0,0.0
2021-01-05 09:30:00-05:00,158.30050659179688,160.875,158.2530059814453,160.125,860142,0,0.0
2021-01-05 10:30:00-05:00,160.1167449951172,160.12899780273438,159.2790069580078,159.6999969482422,344065,0,0.0
2021-01-05 11:30:00-05:00,159.71200561523438,160.09449768066406,159.4499969482422,159.53399658203125,196715,0,0.0
2021-01-05 12:30:00-05:00,159.52999877929688,160.0,159.322998046875,159.82350158691406,156519,0,0.0
2021-01-05 13:30:00-05:00,159.80050659179688,160.99649047851562,159.80050659179688,160.81900024414062,262041,0,0.0
2021-01-05 14:30:00-05:00,160.83050537109375,161.12850952148438,160.3155059814453,160.42405700683594,245617,0,0.0
2021-01-05 15:30:00-05:00,160.4072723388672,161.1689910888672,160.22564697265625,160.92550659179688,319196,0,0.0
2021-01-06 09:30:00-05:00,157.32400512695312,159.87545776367188,156.60501098632812,159.14749145507812,1403098,0,0.0
2021-01-06 10:30:00-05:00,159.10586547851562,159.86500549316406,159.10586547851562,159.28700256347656,435344,0,0.0
2021-01-06 11:30:00-05:00,159.35000610351562,159.5,158.72500610351562,159.23275756835938,323913,0,0.0
2021-01-06 12:30:00-05:00,159.22299194335938,159.299072265625,158.82760620117188,158.99649047851562,227704,0,0.0
2021-01-06 13:30:00-05:00,159.0175018310547,159.39700317382812,157.8314971923828,158.00999450683594,326002,0,0.0
2021-01-06 14:30:00-05:00,157.93600463867188,158.3249969482422,156.72799682617188,157.01400756835938,750633,0,0.0
2021-01-06 15:30:00-05:00,156.99224853515625,157.38800048828125,156.55799865722656,156.90049743652344,574621,0,0.0
2021-01-07 09:30:00-05:00,157.85000610351562,160.42709350585938,157.75,159.76559448242188,1021402,0,0.0
2021-01-07 10:30:00-05:00,159.79049682617188,159.80599975585938,159.114501953125,159.64549255371094,333835,0,0.0
2021-01-07 11:30:00-05:00,159.65782165527344,160.22048950195312,159.41250610351562,159.53050231933594,297638,0,0.0
2021-01-07 12:30:00-05:00,159.5550079345703,160.18174743652344,159.5550079345703,159.98500061035156,246246,0,0.0
2021-01-07 13:30:00-05:00,159.99749755859375,160.38150024414062,159.78900146484375,159.83399963378906,222787,0,0.0
2021-01-07 14:30:00-05:00,159.88150024414062,160.14700317382812,159.63424682617188,159.66925048828125,251805,0,0.0
2021-01-07 15:30:00-05:00,159.6844940185547,159.70799255371094,158.0500030517578,158.0749969482422,595067,0,0.0
2021-01-08 09:30:00-05:00,159.0,159.1334991455078,157.25,157.4040069580078,932901,0,0.0
2021-01-08 10:30:00-05:00,157.35501098632812,158.6165008544922,157.11000061035156,157.95050048828125,502155,0,0.0
2021-01-08 11:30:00-05:00,157.95899963378906,158.3000030517578,157.260498046875,157.9499969482422,423941,0,0.0
2021-01-08 12:30:00-05:00,158.02523803710938,158.5500030517578,157.406005859375,157.83599853515625,315735,0,0.0
2021-01-08 13:30:00-05:00,157.864501953125,158.43765258789062,157.43699645996094,158.4219970703125,312498,0,0.0
2021-01-08 14:30:00-05:00,158.4237518310547,158.75900268554688,158.03053283691406,158.75204467773438,315838,0,0.0
2021-01-08 15:30:00-05:00,158.7364959716797,159.53199768066406,158.5977020263672,159.13499450683594,447677,0,0.0
2021-01-11 09:30:00-05:00,157.51600646972656,157.61550903320312,155.91859436035156,157.25,1055714,0,0.0
2021-01-11 10:30:00-05:00,157.2727508544922,157.3404998779297,156.77999877929688,157.24000549316406,351167,0,0.0
2021-01-11 11:30:00-05:00,157.24649047851562,157.7364959716797,157.19949340820312,157.3769989013672,248484,0,0.0
2021-01-11 12:30:00-05:00,157.34750366210938,157.81919860839844,156.697998046875,156.697998046875,403929,0,0.0
2021-01-11 13:30:00-05:00,156.70401000976562,156.75,155.94100952148438,156.0019989013672,321892,0,0.0
2021-01-11 14:30:00-05:00,155.9989013671875,156.54251098632812,155.5,155.56541442871094,417494,0,0.0
2021-01-11 15:30:00-05:00,155.60000610351562,156.32901000976562,155.5,155.78750610351562,483979,0,0.0
2021-01-12 09:30:00-05:00,156.0,157.10708618164062,155.1750030517578,155.5749969482422,868924,0,0.0
2021-01-12 10:30:00-05:00,155.63101196289062,155.6750030517578,154.89999389648438,155.32400512695312,441575,0,0.0
2021-01-12 11:30:00-05:00,155.29275512695312,155.5,154.3000030517578,155.0644989013672,489155,0,0.0
2021-01-12 12:30:00-05:00,155.06300354003906,156.3765106201172,154.7262420654297,156.3765106201172,380056,0,0.0
2021-01-12 13:30:00-05:00,156.30613708496094,156.88150024414062,156.07449340820312,156.20050048828125,328363,0,0.0
2021-01-12 14:30:00-05:00,156.197998046875,156.76449584960938,155.90150451660156,156.10350036621094,277545,0,0.0
2021-01-12 15:30:00-05:00,156.09849548339844,156.41799926757812,155.9375,156.0439910888672,251514,0,0.0
2021-01-13 09:30:00-05:00,156.4219970703125,158.4635009765625,156.10400390625,158.20401000976562,1021560,0,0.0
2021-01-13 10:30:00-05:00,158.25,159.10842895507812,158.1739959716797,159.00999450683594,502478,0,0.0
2021-01-13 11:30:00-05:00,158.98049926757812,159.35000610351562,158.5,158.9771270751953,387413,0,0.0
2021-01-13 12:30:00-05:00,159.01499938964844,159.49749755859375,158.6425018310547,159.28175354003906,296667,0,0.0
2021-01-13 13:30:00-05:00,159.28399658203125,159.3780059814453,158.88992309570312,159.11849975585938,220782,0,0.0
2021-01-13 14:30:00-05:00,159.125,159.2157440185547,158.25051879882812,158.41700744628906,250565,0,0.0
2021-01-13 15:30:00-05:00,158.3874969482422,159.05599975585938,158.26824951171875,158.31199645996094,316661,0,0.0
2021-01-14 09:30:00-05:00,158.37600708007812,158.89999389648438,157.5155029296875,158.59500122070312,729644,0,0.0
2021-01-14 10:30:00-05:00,158.6614990234375,158.6614990234375,157.7675018310547,157.85531616210938,290396,0,0.0
2021-01-14 11:30:00-05:00,157.8939971923828,157.9405059814453,156.89999389648438,157.47549438476562,360490,0,0.0
2021-01-14 12:30:00-05:00,157.47500610351562,157.83700561523438,156.83773803710938,157.39300537109375,271442,0,0.0
2021-01-14 13:30:00-05:00,157.41323852539062,157.49949645996094,157.11199951171875,157.32049560546875,220038,0,0.0
